8909 NE 117th St Kansas City MO 64157,39.304988,-94.470571,perf_1,68B1,NORMAL,PENNSYLVANIA,0.279845938
9519 N Ambassador Dr Kansas City MO 64154,39.252021,-94.64974,perf_1,68B3,NORMAL,PENNSYLVANIA,0.019221491
7911 N Hickory St Kansas City MO 64118,39.238074,-94.592435,perf_2,12B1,T1,GE,0.536406089
6360 N London Ave Kansas City MO 64151,39.209523,-94.634675,perf_1,91B5,NORMAL,MCGRAW EDISON,0.050989422
4623 NE Winn Rd Kansas City MO 64117,39.178932,-94.530784,perf_1,75B3,NORMAL,WESTINGHOUSE,0.074062178
4445 Madison Ave Kansas City MO 64111,39.046949,-94.596977,perf_1,50B1,NORMAL,WESTINGHOUSE,0.133078008
6903 E 98th Ter Kansas City MO 64134,38.946314,-94.509231,perf_2,94B3,T1,GENERAL ELECTRIC,0.73827381
8701 Chestnut Cir Kansas City MO 64131,38.96944,-94.583546,perf_1,78B3,NORMAL,WESTINGHOUSE,0.117839912
2710 Holmes St  Kansas City MO 64109,39.077512,-94.576418,perf_2,91B1,T1,GENERAL ELECTRIC,0.578072755
609 Central St Kansas City MO 64105,39.106083,-94.585773,perf_2,61B5,T1,GENERAL ELECTRIC,0.766679198
4160 N Mersington Ave Kansas City MO 64117,39.170347,-94.534273,perf_1,91B3,NORMAL,WESTINGHOUSE,0.026068756
623 W Santa Fe Trl Kansas City MO 64145,38.907688,-94.599832,perf_1,75B5,NORMAL,WESTINGHOUSE,0.0175
426 W 5th St Kansas City MO 64105,39.107902,-94.589183,perf_1,27B3,NORMAL,WESTINGHOUSE,0.02812758
2408 E 30th St Kansas City MO 64109,39.071918,-94.554552,perf_1,12B3,NORMAL,McG-ED,0.032584586
6513 E 12th St Kansas City MO 64126,39.097108,-94.505781,perf_2,61B1,T1,GE/Westing,0.610845865
5037 NE 56th Pl Kansas City MO 64119,39.195354,-94.518991,perf_1,48B1,NORMAL,MCGRAW EDISON,0.067137605
3931 NE Hill Haven Rd Kansas City MO 64117,39.165529,-94.508711,perf_1,78B1,NORMAL,Westing/US/ABB,0.022371001
237 N Tracy Ave Kansas City MO 64116,39.112341,-94.566614,perf_1,56B1,NORMAL,GENERAL ELECTRIC,0.476061477
11433 N Tennessee Ave Kansas City MO 64157,39.301269,-94.46986,perf_1,15B1,NORMAL,MCGRAW EDISON,0.035186404
"10708 E 98th Ter, Kansas City, MO 64134",38.943722,-94.457523,perf_2,61B3,T1,GE/Westing,0.494298246
5746 Woodland Ave Kansas City MO 64110,39.02159,-94.565129,perf_1,78B5,NORMAL,McG-ED/SW,0.123757832
3612 Bales Ave Kansas City MO 64128,39.060025,-94.543292,perf_2,24B1,T1,GE/SW,0.719298246
"14010 Lookout Dr Kansas City, MO 64139",38.951793,-94.418433,perf_1,35B3,NORMAL,GE,0.07656743
8724 Hiawatha Rd Kansas City MO 64114,38.969055,-94.594511,perf_1,52B5,NORMAL,MCGRAW EDISON,0.129744674
9603 N Adrian Pl Kansas City MO 64154,39.266889,-94.623988,perf_1,31B3,NORMAL,MCGRAW EDISON,0.025419247
2508 NE 103rd St Kansas City MO 64155,39.280551,-94.547548,perf_1,49B1,NORMAL,ABB,0.027242002
7826 N Dawn Ave Kansas City MO 64151,39.238211,-94.640803,perf_2,24B7,T1,GE/SW,0.566691176
9002 NE 116th Pl Kansas City MO 64157,39.30467,-94.467694,perf_1,12B5,NORMAL,WESTINGHOUSE/SW,0.022554272
21 W 10th St Kansas City MO 64105,39.101992,-94.584007,perf_1,53B1,NORMAL,PENNSYLVANIA/SW,0.048157342
3823 Wyandotte St Kansas City MO 64111,39.057627,-94.58804,perf_1,31B1,NORMAL,ABB,0.032033669
8236 Main St Kansas City MO 64114,38.978017,-94.590594,perf_1,29B3,NORMAL,MCGRAW EDISON,0.018935851
13511 E 54th Ter Kansas City MO 64133,39.021511,-94.420083,perf_1,29B1,NORMAL,MCGRAW EDISON,0.034322755
7814 N Main St Kansas City MO 64118,39.236109,-94.581045,perf_1,41B3,NORMAL,MCGRAW EDISON,0.074352517
2918 Tracy Ave Kansas City MO 64109,39.07317,-94.569093,perf_1,27B5,NORMAL,FEDERAL PACIFIC/SW,0.113102517
6410 NW Monticello Dr Kansas City MO 64152,39.211262,-94.664767,perf_1,27B1,NORMAL,WESTINGHOUSE,0.067894184
4319 N Campbell St Kansas City MO 64116,39.230019,-94.570503,perf_1,12B7,NORMAL,WESTINGHOUSE,0.104166667
8126 NW Harden Dr Kansas City MO 64151,39.240634,-94.607391,perf_1,50B5,NORMAL,MCGRAW EDISON,0.029769184
7604 E 108th Ter Kansas City MO 64134,38.928799,-94.500744,perf_1,24B3,NORMAL,MCGRAW EDISON,0.017137605
501 Colorado Ave Kansas City MO 64124,39.106937,-94.519865,perf_1,49B5,NORMAL,WESTINGHOUSE/SW,0.060572755
