"939 W El Camino Real, Mountain View, CA",37.386339,-122.085823,perf_1,112233,NORMAL,D-280,0
"790 Castro St, Mountain View, CA",37.38714,-122.083235,perf_2,445566,T1,C-134,0.25
"191 Castro St, Mountain View, CA",37.393885,-122.078916,perf_3,778899,T2,DH-221,0.5
"570 N Shoreline Blvd, Mountain View, CA",37.402653,-122.079354,perf_4,101010,T3,A-100,0.75
"619 Escuela Ave, Mountain View, CA",37.394011,-122.095528,perf_5,123456,D1,B-300,0.25
"4546 El Camino Real, Los Altos, CA",37.401724,-122.114646,perf_1,215599.8,NORMAL,D-281,0.25
"415 N Mary Ave, Sunnyvale, CA",37.390038,-122.042034,perf_1,183388.8,T4,C-135,0.75
"1747 India St, San Diego, CA",32.723831,-117.168326,perf_2,151177.8,T5,DH-222,0.25
"770 4th Ave, San Diego, CA",32.713382,-117.16118,perf_3,118966.8,T6,A-101,1
"1650 Colorado Blvd, Los Angeles, CA",34.139159,-118.204608,perf_4,86755.8,D2,B-301,0.25
"510 S Arroyo Pkwy, Pasadena, CA",34.137003,-118.147303,perf_5,54544.8,NORMAL,D-282,0.5
"330 S Hope St, Los Angeles, CA",34.05333,-118.252683,perf_1,22333.8,T1,C-136,1
"200 Main St # 101, Huntington Beach, CA",33.658058,-118.001101,perf_1,-9877.2,T2,DH-223,0.25
"280 S Coast Hwy, Laguna Beach, CA",33.54209,-117.783516,perf_2,42088.2,T3,A-102,0.75
"5801 College Ave, Oakland, CA",37.846179,-122.251951,perf_3,767341.2,D1,B-302,0.25
"1853 Solano Ave, Berkeley, CA",37.891407,-122.27843,perf_4,106510.2,NORMAL,D-283,0
"1512 Shattuck Ave, Berkeley, CA",37.879976,-122.269275,perf_5,138721.2,T4,C-137,0
"300 Connecticut St, San Francisco, CA",37.762431,-122.397617,perf_1,170932.2,T5,DH-224,0.5
"1042 Kearny St, San Francisco, CA",37.797388,-122.405374,perf_1,203143.2,T6,A-103,0.5
"846 Divisadero St, San Francisco, CA",37.77752,-122.438215,perf_2,235354.2,D2,B-303,0.75
"260 Valencia, San Francisco, CA",37.768725,-122.422245,perf_3,267565.2,NORMAL,D-284,1
"731 Irving St, San Francisco, CA",37.764074,-122.465581,perf_4,299776.2,T1,C-138,0.25
"69 E 3rd Ave, San Mateo, CA",37.563896,-122.32472,perf_5,331987.2,T2,DH-225,0.25
"226 Redwood Shores Pkwy, Redwood City, CA",37.520516,-122.252255,perf_1,364198.2,T3,A-104,0.75
"240 E 3rd Ave, San Mateo, CA",37.565325,-122.322643,perf_1,396409.2,D1,B-304,0.25
"441 Emerson St, Palo Alto, CA",37.445148,-122.163553,perf_2,428620.2,NORMAL,D-285,0.5
"4115 El Camino Real, Palo Alto, CA",37.414106,-122.126223,perf_3,460831.2,T4,C-139,0.5
"531 Cowper St, Palo Alto, CA",37.448075,-122.158813,perf_4,493042.2,T5,DH-226,0.5
"35 Bovet Rd, San Mateo, CA",37.551562,-122.314525,perf_5,525253.2,T6,A-105,0.25
"1001 El Camino Real, Menlo Park, CA",37.452966,-122.181722,perf_1,557464.2,D2,B-305,1
"334 Santana Row # 1065, San Jose, CA",37.321792,-121.947735,perf_1,589675.2,NORMAL,D-286,0.5
"155 W San Fernando St, San Jose, CA",37.333277,-121.891677,perf_2,621886.2,T1,C-140,0.5
"527 S Almaden Ave, San Jose, CA",37.326353,-121.888165,perf_3,654097.2,T2,DH-227,0.75
"225 W Santa Clara St, San Jose, CA",37.334702,-121.894045,perf_4,686308.2,T3,A-106,0.5
"638 El Camino Real, Santa Clara, CA",37.354603,-121.942577,perf_5,718519.2,D1,B-306,1
"3137 Stevens Creek Blvd, San Jose, CA",37.323297,-121.951646,perf_1,750730.2,NORMAL,D-287,0.75
"1445 Foxworthy Ave, San Jose, CA",37.274648,-121.892893,perf_1,782941.2,T4,C-141,0.5
"4302 Moorpark Ave, San Jose, CA",37.315903,-121.977925,perf_2,815152.2,T5,DH-228,0
"4192 El Camino Real, Palo Alto, CA",37.414106,-122.126223,perf_3,847363.2,T6,A-107,0
"800 Cowper St, Palo Alto, CA",37.448075,-122.158813,perf_4,879574.2,D2,B-307,0.25
